"idPsa","rasa","wiek","płeć","liczba zdobytych medali","idWlasciciela"
"613","wyżeł niemiecki krótkowłosy","2","samiec","4","166"
"614","foksterier szorstkowłosy","2","samiec","3","19"
"615","sznaucer miniaturowy","1","samica","1","6"
"616","pudel miniaturowy","2","samiec","3","94"
"617","jamnik szorstkowłosy","3","samiec","2","76"
"618","bosker","3","samica","3","173"
"619","owczarek środkowoazjatycki","4","samica","0","98"
"620","sznaucer olbrzym","5","samica","4","77"
"621","terier szkocki","3","samiec","0","54"
"622","pudel duży","3","samica","1","172"
"623","alaskan malamute","1","samica","4","27"
"624","pudel duży","4","samiec","3","70"
"625","buldog francuski","3","samica","1","115"
"626","seter irlandzki","4","samiec","3","56"
"627","bulterier","2","samiec","3","137"
"628","chart polski","3","samiec","3","19"
"629","seter irlandzki","4","samica","4","65"
"630","chart szkocki","3","samica","3","26"
"631","terier irlandzki","5","samiec","0","105"
"632","chart hiszpański","1","samica","2","180"
"633","owczarek holenderski","5","samiec","4","32"
"634","pekińczyk","4","samiec","0","137"
"635","dog argentyński","2","samica","0","185"
"636","cocker spaniel amerykański","5","samica","0","136"
"637","wyżeł włoski krótkowłosy","3","samica","3","172"
"638","dog kanaryjski","2","samiec","3","89"
"639","szpic miniaturowy","4","samiec","2","93"
"640","cocker spaniel angielski","2","samica","0","169"
"641","wyżeł niemiecki długowłosy","3","samiec","4","101"
"642","bosker","5","samiec","0","106"
"643","owczarek holenderski","2","samica","2","101"
"644","sznaucer miniaturowy","5","samica","1","153"
"645","szpic włoski","4","samiec","1","27"
"646","wyżeł niemiecki długowłosy","3","samiec","3","59"
"647","szpic miniaturowy","4","samiec","4","198"
"648","wyżeł niemiecki szorstkowłosy","1","samica","4","33"
"649","komondor","3","samica","2","122"
"650","owczarek kataloński","1","samiec","4","139"
"651","terier australijski","2","samica","0","33"
"652","seter angielski","2","samica","2","10"
"653","bernardyn krótkowłosy","1","samica","3","67"
"654","wyżeł niemiecki długowłosy","3","samiec","2","20"
"655","dog argentyński","3","samica","1","24"
"656","foksterier krótkowłosy","2","samica","0","5"
"657","cocker spaniel angielski","5","samica","4","149"
"658","cocker spaniel angielski","1","samica","3","104"
"659","owczarek środkowoazjatycki","1","samica","0","129"
"660","dog niemiecki","3","samica","2","58"
"661","owczarek szetlandzki","3","samiec","4","128"
"662","pekińczyk","3","samica","4","172"
"663","owczarek szkocki długowłosy","2","samica","1","182"
"664","owczarek podhalański","2","samiec","3","185"
"665","jamnik szorstkowłosy","3","samica","2","63"
"666","foksterier krótkowłosy","1","samiec","1","93"
"667","sznaucer miniaturowy","5","samica","0","180"
"668","foksterier krótkowłosy","4","samiec","1","187"
"669","wyżeł węgierski krótkowłosy","2","samiec","3","99"
"670","foksterier szorstkowłosy","3","samiec","0","175"
"671","sznaucer olbrzym","4","samica","0","198"
"672","pekińczyk","1","samica","3","142"
"673","terier irlandzki","2","samica","4","114"
"674","bulterier","4","samica","2","45"
"675","szpic włoski","3","samiec","0","10"
"676","buldog francuski","5","samica","2","194"
"677","bernardyn krótkowłosy","5","samica","3","77"
"678","pudel średni","3","samiec","3","137"
"679","foksterier szorstkowłosy","5","samiec","1","75"
"680","seter szkocki","2","samiec","2","187"
"681","labrador retriever","1","samica","3","33"
"682","wyżeł niemiecki krótkowłosy","3","samica","1","189"
"683","mops","2","samica","3","175"
"684","foksterier szorstkowłosy","5","samica","3","131"
"685","szpic fiński","5","samiec","0","77"
"686","bulterier","2","samica","0","57"
"687","foksterier szorstkowłosy","3","samica","4","45"
"688","owczarek podhalański","5","samiec","2","141"
"689","owczarek środkowoazjatycki","1","samiec","4","113"
"690","owczarek środkowoazjatycki","1","samica","0","135"
"691","owczarek kaukaski","5","samica","1","32"
"692","cocker spaniel amerykański","3","samica","4","146"
"693","dog kanaryjski","1","samiec","0","2"
"694","dog kanaryjski","5","samiec","3","178"
"695","owczarek szkocki krótkowłosy","2","samiec","3","180"
"696","szpic miniaturowy","5","samica","0","53"
"697","owczarek kataloński","5","samica","4","195"
"698","dalmatyńczyk","5","samiec","4","163"
"699","rottweiler","5","samica","1","187"
"700","owczarek podhalański","2","samica","3","121"
"701","owczarek szetlandzki","1","samica","2","123"
"702","buldog angielski","3","samiec","3","179"
"703","buldog angielski","5","samica","3","185"
"704","terier australijski","5","samica","1","137"
"705","chart perski","2","samica","3","103"
"706","bernardyn długowłosy","2","samica","4","60"
"707","chart polski","5","samica","1","23"
"708","szpic niemiecki","4","samiec","2","21"
"709","owczarek podhalański","3","samiec","4","16"
"710","foksterier szorstkowłosy","5","samica","0","69"
"711","alaskan malamute","3","samiec","4","25"
"712","szpic włoski","2","samica","1","74"
"713","terier australijski","3","samiec","4","45"
"714","doberman","5","samica","2","139"
"715","chihuahua","1","samica","1","188"
"716","wyżeł włoski szorstkowłosy","1","samiec","2","115"
"717","bosker","1","samiec","4","115"
"718","chart węgierski","3","samica","0","16"
"719","terier czeski","3","samiec","3","173"
"720","polski owczarek nizinny","2","samica","2","170"
"721","owczarek holenderski","2","samica","4","9"
"722","chart hiszpański","5","samica","0","167"
"723","alaskan malamute","2","samiec","2","81"
"724","chart rosyjski","2","samica","2","24"
"725","chart węgierski","1","samica","2","198"
"726","cocker spaniel amerykański","2","samiec","2","154"
"727","owczarek holenderski","2","samiec","4","142"
"728","foksterier krótkowłosy","5","samica","1","3"
"729","komondor","1","samica","0","78"
"730","komondor","2","samica","1","159"
"731","wyżeł niemiecki długowłosy","4","samiec","2","23"
"732","labrador retriever","2","samiec","3","132"
"733","chart perski","3","samica","3","168"
"734","wyżeł włoski szorstkowłosy","1","samiec","4","118"
"735","terier walijski","5","samica","3","110"
"736","doberman","3","samica","0","37"
"737","foksterier szorstkowłosy","1","samiec","4","11"
"738","owczarek środkowoazjatycki","1","samica","1","7"
"739","dog argentyński","5","samiec","1","145"
"740","jamnik krótkowłosy","3","samiec","1","145"
"741","owczarek holenderski","5","samica","3","68"
"742","szpic włoski","2","samiec","2","145"
"743","chart hiszpański","2","samiec","0","175"
"744","szpic włoski","4","samica","1","34"
"745","chart polski","1","samica","3","38"
"746","pudel duży","1","samiec","2","60"
"747","foksterier krótkowłosy","3","samiec","2","48"
"748","buldog francuski","4","samiec","4","84"
"749","terier irlandzki","4","samica","3","13"
"750","seter angielski","3","samiec","3","189"
"751","polski owczarek nizinny","1","samica","3","108"
"752","chart węgierski","3","samica","0","83"
"753","buldog angielski","3","samiec","0","29"
"754","owczarek szkocki długowłosy","4","samica","0","42"
"755","chart polski","1","samica","1","27"
"756","owczarek kraski","1","samiec","3","60"
"757","chihuahua","4","samica","4","59"
"758","jamnik długowłosy","5","samiec","0","152"
"759","bosker","5","samica","3","122"
"760","chart hiszpański","4","samiec","2","118"
"761","chart węgierski","3","samica","0","136"
"762","szpic miniaturowy","2","samica","1","31"
"763","sznaucer miniaturowy","1","samica","0","144"
"764","sznaucer olbrzym","3","samica","2","52"
"765","chart rosyjski","2","samiec","2","101"
"766","wyżeł włoski krótkowłosy","4","samiec","1","35"
"767","mops","2","samiec","3","19"
"768","wyżeł niemiecki długowłosy","5","samiec","4","86"
"769","owczarek niemiecki","3","samica","3","23"
"770","bosker","4","samica","1","92"
"771","owczarek szkocki krótkowłosy","3","samica","1","144"
"772","owczarek szetlandzki","4","samica","4","180"
"773","pekińczyk","5","samica","4","182"
"774","owczarek szkocki krótkowłosy","4","samica","3","39"
"775","terier tybetański","5","samica","4","144"
"776","wyżeł włoski szorstkowłosy","1","samiec","0","86"
"777","owczarek szkocki krótkowłosy","2","samiec","2","134"
"778","owczarek kaukaski","1","samiec","1","91"
"779","wyżeł węgierski krótkowłosy","5","samiec","2","35"
"780","pekińczyk","1","samiec","4","118"
"781","chart hiszpański","1","samica","2","60"
"782","seter angielski","1","samiec","2","6"
"783","chart perski","1","samiec","4","85"
"784","seter irlandzki","5","samica","1","5"
"785","wyżeł włoski szorstkowłosy","5","samiec","2","97"
"786","pudel miniaturowy","1","samiec","3","40"
"787","komondor","2","samiec","4","145"
"788","alaskan malamute","5","samica","0","2"
"789","chart szkocki","3","samica","2","28"
"790","polski owczarek nizinny","1","samiec","3","80"
"791","wyżeł niemiecki długowłosy","4","samica","2","200"
"792","bulterier","2","samica","0","66"
"793","owczarek niemiecki","5","samiec","2","74"
"794","chart afgański","2","samiec","1","146"
"795","owczarek kaukaski","5","samica","0","173"
"796","wyżeł niemiecki szorstkowłosy","2","samiec","3","193"
"797","pekińczyk","3","samiec","0","75"
"798","rottweiler","2","samiec","4","188"
"799","pudel średni","4","samiec","4","19"
"800","terier australijski","3","samiec","2","142"
"801","bosker","2","samica","0","72"
"802","szpic niemiecki","2","samiec","1","46"
"803","wyżeł niemiecki krótkowłosy","5","samiec","2","85"
"804","seter szkocki","1","samica","3","133"
"805","dalmatyńczyk","2","samiec","1","184"
"806","pudel miniaturowy","1","samiec","3","10"
"807","polski owczarek nizinny","4","samica","2","174"
"808","terier walijski","5","samiec","2","158"
"809","chart perski","3","samica","2","140"
"810","pudel duży","2","samiec","0","33"
"811","wyżeł węgierski krótkowłosy","1","samiec","3","183"
"812","wyżeł włoski krótkowłosy","1","samica","0","83"
"813","szpic włoski","3","samiec","0","174"
"814","bernardyn krótkowłosy","2","samiec","3","178"
"815","foksterier szorstkowłosy","3","samiec","3","177"
"816","jamnik krótkowłosy","1","samica","3","48"
"817","dog argentyński","5","samiec","4","11"
"818","owczarek kataloński","2","samiec","0","101"
"819","wyżeł włoski krótkowłosy","2","samiec","4","145"
"820","seter angielski","1","samiec","0","102"
"821","komondor","1","samiec","0","41"
"822","labrador retriever","3","samiec","1","131"
"823","owczarek kataloński","5","samiec","3","180"
"824","owczarek szkocki krótkowłosy","5","samica","2","173"
"825","wyżeł włoski szorstkowłosy","5","samiec","2","57"
"826","chart hiszpański","3","samica","2","145"
"827","wyżeł węgierski szorstkowłosy","3","samiec","2","33"
"828","bulterier","1","samica","1","70"
"829","owczarek środkowoazjatycki","3","samiec","4","82"
"830","cocker spaniel amerykański","1","samiec","4","105"
"831","foksterier krótkowłosy","5","samica","0","91"
"832","foksterier krótkowłosy","5","samiec","0","78"
"833","wyżeł węgierski krótkowłosy","2","samiec","4","57"
"834","pudel miniaturowy","3","samiec","1","177"
"835","dalmatyńczyk","3","samiec","1","185"
"836","szpic niemiecki","5","samica","3","12"
"837","terier szkocki","5","samica","1","43"
"838","owczarek szkocki długowłosy","2","samica","3","66"
"839","alaskan malamute","2","samiec","3","119"
"840","foksterier szorstkowłosy","3","samiec","4","155"
"841","rottweiler","3","samica","4","37"
"842","owczarek kaukaski","3","samica","2","181"
"843","wyżeł węgierski krótkowłosy","2","samica","1","86"
"844","rottweiler","2","samica","1","101"
"845","pudel średni","5","samiec","0","104"
"846","wyżeł włoski krótkowłosy","1","samica","3","19"
"847","pekińczyk","4","samiec","1","92"
"848","szpic niemiecki","3","samiec","3","110"
"849","foksterier szorstkowłosy","1","samica","0","200"
"850","wyżeł włoski szorstkowłosy","5","samica","3","35"
"851","seter angielski","5","samica","4","70"
"852","owczarek szkocki długowłosy","4","samiec","2","4"
"853","labrador retriever","5","samiec","1","70"
"854","labrador retriever","5","samica","4","111"
"855","terier szkocki","4","samiec","4","183"
"856","sznaucer olbrzym","4","samiec","1","43"
"857","jamnik długowłosy","3","samica","0","72"
"858","bernardyn krótkowłosy","3","samiec","4","76"
"859","dalmatyńczyk","1","samica","1","80"
"860","szpic miniaturowy","3","samiec","0","114"
"861","owczarek środkowoazjatycki","2","samiec","3","150"
"862","szpic włoski","2","samiec","3","104"
"863","bernardyn długowłosy","1","samiec","4","126"
"864","szpic niemiecki","2","samiec","1","185"
"865","jamnik długowłosy","4","samica","0","157"
"866","owczarek kaukaski","2","samiec","2","23"
"867","owczarek szkocki długowłosy","4","samiec","4","112"
"868","pudel miniaturowy","2","samiec","1","112"
"869","polski owczarek nizinny","3","samica","4","106"
"870","terier szkocki","4","samica","2","114"
"871","pudel duży","4","samica","3","148"
"872","jamnik długowłosy","1","samiec","1","67"
"873","wyżeł włoski szorstkowłosy","2","samiec","3","153"
"874","dog argentyński","1","samiec","0","155"
"875","owczarek holenderski","2","samiec","0","112"
"876","sznaucer miniaturowy","4","samica","2","46"
"877","wyżeł węgierski krótkowłosy","5","samica","0","97"
"878","terier czeski","4","samica","0","152"
"879","terier szkocki","1","samica","2","37"
"880","chart szkocki","3","samiec","1","113"
"881","chart perski","1","samiec","4","88"
"882","labrador retriever","5","samica","4","196"
"883","chart afgański","1","samiec","4","59"
"884","chart rosyjski","5","samiec","4","187"
"885","wyżeł węgierski krótkowłosy","5","samica","0","113"
"886","jamnik długowłosy","2","samica","4","104"
"887","bosker","2","samica","0","115"
"888","seter irlandzki","1","samiec","1","90"
"889","jamnik krótkowłosy","4","samiec","3","7"
"890","bosker","2","samiec","3","164"
"891","wyżeł włoski szorstkowłosy","4","samiec","4","109"
"892","buldog francuski","3","samica","1","53"
"893","chart hiszpański","2","samiec","0","138"
"894","chart perski","2","samiec","0","200"
"895","bernardyn krótkowłosy","3","samica","2","97"
"896","cocker spaniel amerykański","5","samica","2","3"
"897","alaskan malamute","4","samica","0","3"
"898","wyżeł niemiecki długowłosy","1","samiec","3","145"
"899","doberman","1","samiec","3","69"
"900","bosker","1","samiec","4","103"
"901","bulterier","3","samica","4","121"
"902","rottweiler","3","samiec","3","94"
"903","seter szkocki","4","samica","1","104"
"904","alaskan malamute","3","samiec","4","189"
"905","buldog francuski","3","samica","1","45"
"906","terier czeski","2","samica","1","20"
"907","dog argentyński","2","samica","3","153"
"908","dog niemiecki","5","samiec","4","114"
"909","pudel średni","3","samica","4","118"
"910","polski owczarek nizinny","4","samiec","3","29"
"911","jamnik krótkowłosy","3","samica","3","106"
"912","terier australijski","5","samiec","4","162"
"913","szpic niemiecki","2","samica","1","31"
"914","wyżeł włoski krótkowłosy","4","samica","2","160"
"915","pudel miniaturowy","1","samica","2","169"
"916","owczarek kataloński","4","samiec","1","2"
"917","seter irlandzki","1","samica","2","157"
"918","owczarek szkocki krótkowłosy","2","samica","1","133"
"919","owczarek podhalański","3","samiec","3","20"
"920","terier szkocki","2","samica","2","186"
"921","chart rosyjski","5","samica","1","64"
"922","pudel duży","4","samiec","0","78"
"923","buldog angielski","5","samiec","3","97"
"924","bernardyn długowłosy","1","samiec","3","180"
"925","owczarek holenderski","5","samica","0","126"
"926","wyżeł węgierski szorstkowłosy","3","samica","1","95"
"927","terier szkocki","1","samiec","2","49"
"928","buldog angielski","2","samiec","3","23"
"929","seter angielski","5","samica","2","57"
"930","terier tybetański","3","samica","2","147"
"931","komondor","5","samiec","4","75"
"932","wyżeł niemiecki krótkowłosy","1","samiec","0","16"
"933","bulterier","1","samica","0","165"
"934","dalmatyńczyk","1","samica","1","48"
"935","owczarek podhalański","5","samiec","2","108"
"936","foksterier krótkowłosy","2","samiec","4","40"
"937","cocker spaniel angielski","3","samiec","1","174"
"938","seter szkocki","2","samica","0","93"
"939","pudel miniaturowy","2","samiec","2","172"
"940","chart perski","3","samiec","1","167"
"941","chart szkocki","1","samiec","3","81"
"942","wyżeł włoski szorstkowłosy","2","samica","3","199"
"943","szpic niemiecki","5","samica","1","157"
"944","buldog angielski","5","samiec","3","151"
"945","dog niemiecki","3","samica","3","55"
"946","terier tybetański","1","samiec","0","158"
"947","owczarek szkocki krótkowłosy","3","samiec","4","8"
"948","wyżeł węgierski szorstkowłosy","4","samica","2","110"
"949","owczarek kraski","3","samiec","0","159"
"950","labrador retriever","3","samiec","4","179"
"951","owczarek szkocki długowłosy","1","samiec","3","47"
"952","cocker spaniel amerykański","4","samica","3","149"
"953","seter angielski","4","samiec","4","133"
"954","chart hiszpański","5","samica","3","130"
"955","cocker spaniel amerykański","2","samiec","4","120"
"956","labrador retriever","5","samica","1","62"
"957","komondor","1","samica","3","57"
"958","dog kanaryjski","2","samica","2","98"
"959","owczarek szetlandzki","4","samica","3","193"
"960","terier czeski","4","samica","4","38"
"961","mops","2","samica","4","148"
"962","terier czeski","1","samiec","3","53"
"963","chart afgański","4","samica","1","4"
"964","buldog francuski","3","samica","3","19"
"965","jamnik krótkowłosy","2","samica","3","141"
"966","komondor","3","samiec","0","113"
"967","wyżeł węgierski krótkowłosy","1","samiec","0","142"
"968","foksterier szorstkowłosy","2","samica","3","135"
"969","pudel średni","2","samica","1","137"
"970","wyżeł węgierski krótkowłosy","2","samiec","0","64"
"971","jamnik krótkowłosy","2","samica","2","123"
"972","sznaucer olbrzym","5","samiec","1","53"
"973","seter szkocki","1","samiec","2","138"
"974","dalmatyńczyk","4","samica","4","19"
"975","chart hiszpański","1","samiec","2","151"
"976","owczarek szetlandzki","5","samica","2","68"
"977","chart szkocki","2","samiec","4","195"
"978","dog kanaryjski","1","samiec","0","58"
"979","owczarek kataloński","3","samica","1","179"
"980","buldog francuski","5","samiec","0","46"
"981","seter irlandzki","4","samiec","1","39"
"982","terier australijski","1","samica","2","169"
"983","dalmatyńczyk","5","samiec","3","26"
"984","bulterier","5","samiec","0","53"
"985","wyżeł węgierski szorstkowłosy","5","samica","2","186"
"986","pekińczyk","1","samica","0","51"
"987","bosker","1","samiec","0","43"
"988","wyżeł węgierski krótkowłosy","3","samica","1","155"
"989","labrador retriever","2","samiec","4","92"
"990","owczarek szkocki długowłosy","1","samiec","3","118"
"991","rottweiler","2","samica","1","38"
"992","terier szkocki","2","samica","2","53"
"993","pudel średni","5","samiec","2","185"
"994","bernardyn długowłosy","4","samiec","0","139"
"995","mops","1","samiec","2","23"
"996","bulterier","4","samica","2","116"
"997","chart rosyjski","5","samica","4","176"
"998","doberman","4","samiec","1","3"
"999","bulterier","3","samica","1","73"
"1000","chart perski","4","samiec","0","117"
